Larva,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,0-2,10-2,20-2,30-2,40-2,50-2,60-2,70-2,80-2,90-2,100-2,110-2,120-2,130-2,140-2,150-2,160-2,170-2,180-2,0-3,10-3,20-3,30-3,40-3,50-3,60-3,70-3,80-3,90-3,100-3,110-3,120-3,130-3,140-3,150-3,160-3,170-3,180-3
70,P7,I16,P10,P9,P9,P9,P9,P9,P9,P9,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,G16,D14,E14,G16,D14,D14,J16,F15,I1,D14,C13,P10,A11,N12,D14,N13,H1,G16,J16,P10,B12,J1,E15,A10,C4,C4,C13,I16,A6,N13,A8,P8,D2,C3,I15,B4,C13
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,J12,G8,D8,C7,C14,H12,L8,L8,L8,H7,B13,B13,B13,B13,B13,B13,B13,B13,B12,K15,N14,M2,C4,D2,P11,E15,N13,N13,N12,H1,H2,N3,G1,P7,O12,P7,P11,M14,D3,K2,M6,E13,A10,E2,H16,D14,H16,E15,A10,D14,D15,O12,K15,P10,P6,E15,A6
73,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,P10,D6,N14,M15,I1,I1,I1,E2,C4,I16,M14,D14,G1,G1,I1,J1,L15,A10,A10,E2,I13,D3,C3,C3,C5,C5,C5,M14,M14,D12,D12,B10,D13,A10,B11,O8,M14,O6,J15
74,A7,M3,M14,D14,F12,K6,G1,J6,M13,B12,L14,L2,K4,A11,M14,N9,O4,B10,G11,H8,B5,E2,P8,A9,L2,N3,G1,K1,A10,C14,C14,D2,P8,J2,H1,O11,H1,E2,D3,I1,D3,A9,G16,N13,L15,N14,J1,D2,C3,I1,N3,J1,N4,O6,M15,P11,D15
75,P9,M6,N3,P8,N7,C2,N5,G1,H1,H2,H2,J5,J5,M6,K9,K11,N13,P11,O5,E2,A9,A7,M3,C4,L15,G1,B5,I16,O12,M2,G3,G1,P10,B5,C3,K2,P9,L14,M2,A8,C14,K16,L15,O6,A9,G1,N4,B12,N14,G16,F1,C4,G15,N14,E15,J1,A10
76,N13,F16,I16,N14,I13,K15,K15,L15,L15,L15,L15,L15,L15,M14,M14,M14,M14,M14,M14,J16,D2,E4,G1,B5,A6,B11,C8,A8,M3,A9,F10,D3,D3,K1,P8,D2,P8,C3,H16,L2,O13,C14,D14,L13,N13,M14,C3,P10,K14,B11,K16,I2,C14,E12,O12,F1,L15
77,L6,C11,M13,M13,M13,M13,M1,M13,L15,C12,C12,C12,C12,J13,N14,N13,N13,M15,M14,N11,P7,K11,N14,P7,P9,P9,P9,M7,P7,I1,D15,N3,I16,P9,O5,O11,P6,N9,M2,P11,G1,P7,P11,L2,B11,E15,D14,O12,P7,B12,L15,M15,P11,E15,B8,P10,H16
78,P7,P7,N11,B9,P11,P8,P8,P7,P7,P7,P7,P7,P6,N4,N3,L3,J1,J1,B4,F16,E10,F10,D14,C14,M2,C3,G16,H15,H16,H1,J2,J2,A8,O12,A10,A7,B5,C6,H16,N5,N12,D3,L15,I1,N4,A7,A10,J11,H1,M14,A9,C14,L15,M15,M15,B5,C4
79,F3,O13,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,P8,G16,O4,O4,D15,L2,D15,D15,K12,O12,A11,M15,M14,P11,O5,L14,P8,P8,G16,G15,H1,G16,H16,C3,P7,B5,I1,P10,J1,H1,O7,M2,A7,G1,L2,B9,A9,G16,G15
80,G1,C8,E2,O7,J11,L6,B7,A10,A10,A10,A10,D9,G16,N14,N14,N14,N14,N14,N14,O11,F15,B6,E2,B5,P7,N3,O9,P9,F2,E15,P7,C12,I15,K16,C4,D12,E15,B6,M14,I1,N13,P10,B12,C13,B4,N13,C3,P10,J4,O11,G15,D14,G1,G16,M14,J16,P8
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,O11,A10,J3,I10,G4,L3,P8,P5,M3,J1,J1,J1,J1,H2,H16,C3,C3,C3,B4,D3,O13,L2,N4,O5,F15,B6,A8,B11,C6,P11,N4,H1,H4,L2,C5,C6,C6,D6,B13,P10,I1,N13,G16,L2,P10,P7,B4,P7,L15,A7,F15,H1,O4,O6,O4,C3,B4
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,K6,C3,E15,N12,P8,A10,N9,N9,K10,N13,O10,C3,C3,A8,E2,P8,M10,K15,G16,E15,P10,D14,G1,G16,A8,B7,A6,C4,H16,D4,D3,G16,G16,A11,B9,D2,H16,H16,J16,D14,D3,A7,I16,D14,M3,F1,F15,N3,A10,K11,B12,C13,D3,J16,M14,N12,N12
88,G16,G14,P10,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,P9,I4,I5,H6,L3,E12,B4,O12,O12,N14,N14,N14,L15,A6,O12,O12,O12,N12,B5,O12,O12,N12,J15,N3,F3,K14,I16,C13,A8,N3,J16,D14,H4,N12,M2,K14,O5,G1,E15,D2,D2,O6
